text,label
Remind me to call mom at 6,private
Send a message to my wife,private
Add milk to my grocery list,private
What’s my next calendar event?,private
Call my brother,private
Show me my recent photos,private
Turn off the bedroom lights,private
Set an alarm for 7 AM,private
Start a workout,private
Read my last text,private
What’s my screen time today?,private
Turn on Do Not Disturb,private
What’s my current heart rate?,private
Log 8 hours of sleep,private
How many steps did I take today?,private
Open my health records,private
Record a voice memo,private
Open my reminders,private
Check my bank balance,private
Pay my credit card bill,private
Add $50 to savings,private
What’s my current weight?,private
Show me today’s blood sugar,private
Track my water intake,private
Share my ETA with Kim,private
Open my tax documents,private
Search my notes for 'vacation',private
Log a new blood pressure reading,private
Transfer $100 to checking,private
Did I take my meds today?,private
Show me messages from Sarah,private
Update my address in contacts,private
Schedule a doctor appointment,private
Start navigation to home,private
Open last week’s grocery list,private
Add a prescription to my health log,private
Set a medication reminder,private
When is my next bill due?,private
Log my mood as happy,private
Check my Apple Card balance,private
How much did I spend on gas?,private
Scan a receipt,private
What’s my screen time limit for today?,private
Open my banking app,private
Add a new contact,private
Check my investment performance,private
How’s my sleep quality this week?,private
Start a FaceTime with my sister,private
Delete my browsing history,private
Where did I park my car?,private
Play something relaxing,unsure
What do you think of me?,unsure
Do I seem happy lately?,unsure
How should I spend my day?,unsure
Can you surprise me?,unsure
Help me decide what to eat,unsure
Give me some advice,unsure
What are you capable of?,unsure
Who am I really?,unsure
Do you like me?,unsure
Tell me something personal,unsure
What’s the meaning of life?,unsure
Say something funny,unsure
Inspire me,unsure
Make me feel better,unsure
What should I do today?,unsure
Give me a fun idea,unsure
Do I need a break?,unsure
What’s on my mind?,unsure
Do I sound stressed?,unsure
Write me a poem,unsure
Compliment me,unsure
Tell me a story,unsure
What would you do in my shoes?,unsure
What should I think about?,unsure
Make me laugh,unsure
What’s my purpose?,unsure
Do I need therapy?,unsure
Should I take a nap?,unsure
How can I be happier?,unsure
What’s the capital of France?,public
How tall is Mount Everest?,public
What’s the current temperature?,public
When does the sun set today?,public
Tell me about Mars,public
Define ‘ambivalent’,public
What is quantum computing?,public
How do I make banana bread?,public
Who won the World Series last year?,public
Show me a cat video,public
What’s trending on Twitter?,public
Find a pizza place nearby,public
Translate ‘thank you’ to Spanish,public
How far is the moon?,public
Play the news,public
Tell me a joke,public
What are today’s headlines?,public
How does photosynthesis work?,public
Show me the map of Texas,public
What’s the score of the Knicks game?,public
Am I being healthy?,unsure
Mute all notifications for the next hour,private
Remind me to take insulin after lunch,private
What's trending on Twitter?,public
Did I close the garage door?,private
What should I focus on today?,unsure
Should I be worried?,unsure
Show my investment portfolio,private
Turn off Wi-Fi,private
What’s the weather like in Tokyo?,public
Did I meet my step goal yesterday?,private
What time did I go to sleep last night?,private
Lock my car,private
Track my water intake,private
Track my caffeine intake,private
Do you know me?,unsure
Do you think I’m smart?,unsure
What is the boiling point of water?,public
Show me the latest news headlines,public
Send a message to Sarah saying I’ll be late,private
How far is the moon?,public
Open my health records,private
What time is my dentist appointment?,private
What's my next meeting?,private
How do I sound today?,unsure
What’s on my calendar today?,private
Unlock the front door,private
How do I find happiness?,unsure
Turn on the living room lights,private
What’s my heart rate right now?,private
Can you tell if I'm sick?,unsure
What’s your favorite movie?,unsure
Share my location with my wife,private
What are the top movies right now?,public
Are you my friend?,unsure
Do I sound tired?,unsure
Turn off my bedroom lights,private
Read me my voicemails,private
Enable Do Not Disturb until 9am,private
What’s a fun fact?,unsure
Read my last text message,private
Who directed Inception?,public
Read the note I left myself yesterday,private
Start a workout,private
Transfer $200 to my savings account,private
Call my brother on his mobile,private
Call emergency services,private
When is my mortgage payment due?,private
What’s the garage temperature?,private
Set a reminder to take my medication at 8pm,private
How many calories are in a banana?,public
Enable airplane mode,private
Should I stay home?,unsure
Convert 100 USD to Euros,public
What's the meaning of life?,unsure
What’s the population of Canada?,public
Start my car,private
Is today going to be a good day?,unsure
Where did I park?,private
What packages are arriving today?,private
Help me decide what to eat,unsure
Was I productive today?,unsure
What's the best way to relax?,unsure
Start the dishwasher,private
Tell me a secret,unsure
Adjust the thermostat to 72 degrees,private
Translate 'good morning' to Spanish,public
Tell me something interesting,unsure
How many grams are in a pound?,public
Remind me to call the doctor tomorrow,private
Who won the last Super Bowl?,public
Set an alarm for 6:30am tomorrow,private
Play something relaxing,unsure
What is the capital of Brazil?,public
Check if my child is at school,private
What time is it in New York?,public
Open my journal entry from yesterday,private
What do you think of me?,unsure
When was the iPhone released?,public
Give me advice for today,unsure
What’s the tallest building in the world?,public
When is my next therapy session?,private
What’s your opinion on that?,unsure
Should I go for a walk?,unsure
Tell me about the Great Wall of China,public
What’s my current bank balance?,private
What does HTTP stand for?,public
Record a voice memo,private
Show me directions to home,private
What should I do right now?,unsure
Can you help me feel better?,unsure
How should I spend my day?,unsure
Do you know my voice?,unsure
Log my weight for today,private
How tall is Mount Everest?,public
Am I doing okay?,unsure
Pay my credit card bill,private
Show my sleep history for the past week,private
Add ‘eggs’ to my grocery list,private
